xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
1.503,0.014,48,1488,2762.9361,1
2.344,0.22,1,2288,2577.8874,1
1.793,0.038,248,14108,3271.6573,1
1.677,0.008,135,14108,3267.4762,1
1.144,0.018,25,2207,1608.7414,1
1.829,0.021,4,20108,3203.8658,1
1.043,0.095,16,1607,1107.2316,1
2.165,0.004,25,1888,2187.5805,1
1.221,0.031,133,2607,1547.6451,1
1.407,0.143,48,1456,1738.9146,1
1.01,0.102,6,2810,1697.8711,1
0.986,0.127,25,804,514.6231,1
0.609,0.087,5,1004,610.6683,1
0.543,0.04,6,1004,610.6683,1
0.764,0.11,57,603,429.4307,1
0.425,0.068,144,802,535.5981,1
1.068,0.004,14,1132,1002.0959,1
1.017,0.103,8,1607,1024.0177,1
1.597,0.036,26,932,1055.1558,1
0.61,0.094,10,1004,610.6683,1
0.62,0.076,93,1004,608.6061,1
2.05,0.097,58,18112,3209.526,1
1.259,0.005,36,834,1981.4135,1
1.19,0.076,3,1556,1741.9153,1
1.058,0.017,153,1140,1181.3086,1
1.022,0.173,32,10128,3768.2013,1
1.436,0.024,11,1984,2612.9328,1
0.675,0.006,307,1004,701.7349,1
0.629,0.092,2,605,468.4644,1
0.514,0.039,3,403,311.3415,1
1.006,0.088,69,802,506.4704,1
0.612,0.027,38,603,388.3782,1
1.198,0.221,20,932,1055.1558,1
0.539,0.046,2,603,376.4106,1
0.355,0.022,5,602,428.4893,1
0.536,0.289,2,403,342.3989,1
0.462,0.007,19,1002,679.6849,1
0.453,0.044,17,603,374.3947,1
1.259,0.02,16,1248,1517.6611,1
1.339,0.109,4,1348,1300.5799,1
0.984,0.013,122,832,1055.1558,1
0.409,0.139,6,402,311.3415,1
0.667,0.068,77,604,461.4325,1
1.052,0.125,25,932,1055.1558,1
1.126,0.146,138,1140,1172.391,1
0.489,0.069,8,402,311.3415,1
1.257,0.085,14,604,462.5468,1
0.871,0.011,13,1807,1006.1241,1
0.556,0.117,10,603,360.3678,1
1.123,0.011,56,932,1055.1558,1
1.323,0.067,9,1752,1508.7819,1
0.999,0.108,10,2810,926.0118,1
1.408,0.002,8,1648,1381.3788,1
0.86,0.061,16,1006,722.7601,1
1.425,0.253,57,1032,951.0447,1
0.989,0.077,30,2810,923.9781,1
0.867,0.044,136,1005,721.8552,1
0.679,0.109,6,1005,616.713,1
1.355,0.208,1,1610,943.2567,1
1.439,0.053,50,1560,1729.9078,1
1.425,0,77,1144,1381.5547,1
1.254,0.033,40,1205,755.7832,1
1.324,0.216,2,1610,970.1778,1
0.996,0.011,9,1006,600.6732,1
0.961,0.103,62,2607,1510.6422,1
1.488,0.004,215,1168,1995.1363,1
1.069,0.026,22,2208,1339.642,1
1.428,0.003,1,1968,1811.1706,1
1.266,0.052,7,1609,970.1778,1
1.256,0.052,42,1807,1186.2866,1
1.234,0.013,9,2008,1217.2988,1
1.506,0.047,25,1456,1822.0546,1
1.729,0.041,50,1572,2057.4185,1
1.111,0.276,34,1136,1125.3402,1
0.788,0.016,1,1209,807.8156,1
0.812,0.025,99,1808,1113.1955,1
1.785,0.013,67,1584,2444.7325,1
1.36,0.03,1,2064,1783.9133,1
1.074,0.061,3,2209,1305.4943,1
1.361,0.014,25,1768,1903.9372,1
0.909,0.013,99,2810,940.1515,1
1.23,0.112,9,2609,1559.7423,1
3.301,0.395,1,2280,2339.5498,1
2.875,0.481,1,1626,1564.9328,1
1.845,0.122,6,1684,2454.6384,1
2.549,0.191,1,2552,1564.9328,1
1.606,0.056,4,2092,2316.696,1
3.241,0.486,1,1926,1564.9328,1
1.473,0.006,20,1568,1944.2591,1
1.761,0.093,33,1564,1934.1791,1
1.179,0.153,13,2609,1401.7283,1
3.28,0.434,1,2452,1564.9328,1
2.614,0.128,1,1626,1564.9328,1
1.138,0.022,5,2408,1452.6335,1
1.734,0.144,73,1480,2264.6946,1
1.867,0.21,1,2356,1472.8071,1
2.965,0.45,1,1624,1314.6501,1
2.023,0.221,1,2252,1401.7283,1
1.744,0.01,3,1976,2065.5462,1
2.798,0.55,1,1526,1401.7283,1
1.257,0.026,5,934,1903.9372,1
2.514,0.291,1,2652,1564.9328,1
1.184,0.017,70,2207,1364.5217,1
1.76,0.013,108,1480,2394.6227,1
1.031,0.038,4,2609,1514.7019,1
1.354,0.066,21,2808,1699.8436,1
1.364,0.023,155,732,1827.9689,1
3.143,0.472,1,1518,1000.3086,1
1.658,0.028,28,1668,2006.336,1
1.226,0.043,47,2009,1319.4613,1
1.203,0.014,201,2806,1591.6953,1
1.409,0.045,5,2076,1935.2054,1
1.685,0.002,157,1380,2401.6616,1
1.45,0.071,21,1868,2021.1522,1
1.264,0.133,3,934,1958.286,1
1.209,0.087,15,17124,3528.859,1
1.254,0.031,11,2209,1256.3782,1
3.831,0.572,1,1822,1186.476,1
1.978,0.081,28,16128,3610.8584,1
1.909,0.183,70,1460,2071.2847,1
1.926,0.188,4,1972,2373.5718,1
1.819,0.025,1,1964,2158.3629,1
1.187,0.028,1,3012,1762.9432,1
1.641,0.073,2,1896,2648.2439,1
2.035,0.304,1,1434,1785.1327,1
1.305,0.012,13,1760,1768.9499,1
1.708,0.166,2,1988,2629.826,1
1.82,0.129,57,1584,2407.9415,1
1.109,0.054,366,2605,1501.6164,1
1.467,0.049,1,2064,1851.1772,1
1.445,0.07,27,1480,2014.3685,1
1.229,0.114,99,2806,1591.6953,1
1.121,0.037,23,932,1808.1088,1
1.027,0.02,1,2611,1564.9328,1
1.223,0.009,121,3006,1740.1233,1
1.055,0.017,2,2808,1761.9121,1
1.41,0.02,4,1776,2231.6237,1
1.374,0.017,1,2810,1744.9683,1
1.728,0.042,42,16100,2987.1106,1
1.885,0.075,17,17108,2897.1974,1
1.227,0.047,6,3010,1709.0659,1
1.565,0.089,78,15108,2897.1974,1
1.699,0.016,9,1796,2592.1797,1
1.101,0.01,1,1032,1571.7918,1
1.694,0.041,21,16120,3357.6873,1
1.196,0.033,15,840,2279.4081,1
1.225,0.105,316,536,2145.3165,1
1.966,0.036,3,19120,3440.0904,1
1.829,0.069,42,16100,2872.1193,1
1.105,0.069,110,632,1918.1364,1
1.687,0.011,69,632,2193.3684,1
1.713,0.001,452,13120,3441.6348,1
1.645,0.203,53,16108,3271.6814,1
1.299,0.007,237,632,1856.2425,1
1.897,0.016,493,1296,2894.233,1
1.798,0.027,12,1688,2832.0031,1
0.866,0.025,29,2408,1524.529,1
0.816,0.04,28,1608,992.1376,1
1.595,0.069,1,21140,3695.2518,1
0.448,0.099,6,402,311.3415,1
1.396,0.067,93,740,2350.5327,1
1.563,0.184,87,732,1978.1963,1
1.035,0.055,48,636,2134.336,1
1.654,0.014,79,16104,3068.523,1
1.08,0.126,210,738,2219.4791,1
1.333,0.158,133,736,2109.3648,1
1.517,0.002,25,17152,3944.6001,1
1.27,0.04,25,1656,1736.8993,1
1.463,0.068,96,1144,1342.521,1
1.266,0.059,140,2407,1401.6671,1
1.623,0.214,2,1852,1660.776,1
2.241,0.045,111,1572,2185.4704,1
0.427,0.084,8,403,391.4834,1
0.588,0.09,4,603,347.3287,1
0.47,0.037,3,603,411.4588,1
0.74,0.044,6,1005,584.7575,1
0.838,0.031,4,1207,813.909,1
1.171,0.108,102,1406,882.9262,1
1.149,0.064,8,1448,1472.6183,1
0.905,0.151,36,804,619.7314,1
1.716,0.236,3,1536,1080.1602,1
2.175,0.03,56,16104,3174.523,1
1.084,0.085,210,640,2233.4204,1
1.811,0.054,181,14116,3313.7233,1
1.227,0.075,105,1240,1427.6316,1
0.861,0.08,5,2208,1155.3604,1
0.777,0.021,78,2207,1351.352,1
0.762,0.071,74,603,495.5364,1
0.882,0.026,26,1448,1542.8023,1
1.768,0.131,1,2184,2619.0662,1
0.766,0.147,120,1806,1202.286,1
0.733,0.262,2,604,451.5236,1
0.863,0.054,34,1807,1197.4839,1
0.577,0.035,42,603,423.4698,1
0.851,0.06,1,1007,847.9292,1
0.436,0.077,6,1003,680.8057,1
0.705,0.068,31,804,619.7314,1
0.32,0.159,3,802,457.4845,1
0.998,0.201,3,605,461.5162,1
1.318,0.002,8,1344,1365.4601,1
0.731,0.051,4,604,332.3574,1
1.218,0.211,53,804,616.7588,1
1.186,0.033,19,1440,1296.3598,1
0.844,0.029,30,1407,882.9262,1
0.729,0.091,21,1605,1184.3659,1
1.417,0.077,64,1140,1281.3531,1
1.073,0.002,7,1232,1047.22,1
1.384,0.024,3,1748,1472.6183,1
0.812,0.156,49,804,619.7314,1
1.031,0.058,1,1648,1318.5364,1
1.092,0.014,3,1007,689.8968,1
1.393,0.11,8,1332,946.1582,1
1.407,0.209,5,1236,1080.1602,1
0.814,0.09,189,803,619.7314,1
0.838,0.004,20,805,616.7588,1
1.09,0.283,16,1407,882.9262,1
1.274,0.052,1,2812,1079.2266,1
0.752,0.092,287,803,619.7314,1
0.747,0.067,21,1406,882.9262,1
1.008,0.036,38,1005,674.7147,1
0.834,0.244,298,803,619.7314,1
1.157,0.114,1,1608,1055.1209,1
1.075,0.027,11,1608,1029.1652,1
1.226,0.112,83,1036,1080.1602,1
1.071,0.279,7,2010,1216.4411,1
1.207,0.005,126,1352,1628.7673,1
1.368,0.148,9,1132,959.2407,1
0.905,0,36,1207,960.1472,1
1.123,0.076,26,1407,882.9262,1
1.005,0.033,130,1406,841.016,1
0.887,0.111,6,1408,943.0251,1
1.421,0.022,8,1644,1383.5302,1
0.837,0.006,8,1006,675.8699,1
1.264,0.154,54,1136,1192.3343,1
