xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
1.376,0.025,337,1372,2176.572,1
1.202,0.074,1,1848,1494.6716,1
1.115,0.026,3,1408,831.9219,1
0.969,0.008,3,1810,1115.2957,1
1.232,0.004,3,1952,1613.8754,1
1.402,0.119,4,2410,1375.5425,1
1.082,0.142,8,1206,865.0434,1
1.45,0.165,15,1340,1336.4918,1
1.742,0.175,31,1760,1818.0234,1
1.499,0.206,70,840,1298.5492,1
1.69,0.129,16,1336,1118.2066,1
1.147,0.037,3,1536,1177.3196,1
2.103,0.073,42,17116,3153.5335,1
0.84,0.097,6,1809,1087.1956,1
1.937,0.01,78,1592,2902.4204,1
0.896,0.067,5,1206,517.54,1
1.093,0.031,1,805,548.5535,1
1.022,0.11,25,940,1265.4265,1
1.149,0.018,81,1056,1596.8852,1
1.354,0.008,19,19104,2987.3635,1
1.442,0.049,7,1452,1600.7125,1
0.925,0.009,308,732,986.1802,1
1.025,0.258,87,803,445.5168,1
0.719,0.158,1,604,488.5419,1
1.382,0.122,12,1776,2098.3813,1
1.265,0.007,1,1784,2576.9762,1
0.987,0.051,2,805,548.5535,1
1.087,0.048,9,3010,1742.0061,1
0.67,0.147,86,1203,740.8986,1
1.087,0.121,59,2807,1737.0324,1
0.671,0.014,1,604,407.427,1
0.772,0.06,3,2008,1400.6134,1
1.663,0.008,7,1876,2239.5168,1
1.156,0.022,153,1148,1358.4741,1
0.498,0.088,36,803,622.763,1
1.587,0.054,4,1956,1736.9734,1
1.463,0.107,91,1560,1673.9274,1
1.348,0.046,156,1464,2021.3256,1
1.117,0.027,164,1352,1542.8394,1
1.347,0.229,1,806,548.5535,1
0.392,0.165,3,402,367.4638,1
0.476,0.007,7,403,392.4278,1
0.646,0.104,4,604,374.3947,1
0.651,0.053,8,804,622.763,1
0.577,0.192,18,803,622.763,1
1.258,0.083,26,1240,1172.3446,1
0.723,0.009,20,604,388.4216,1
0.585,0.048,1,603,346.3843,1
0.854,0.058,34,603,359.386,1
0.625,0.054,65,1403,795.8943,1
0.808,0.004,7,1007,615.7312,1
1.041,0.061,3,1140,1221.3734,1
0.842,0.074,64,1405,811.9774,1
0.68,0.172,14,804,622.763,1
0.844,0.073,1,1807,1040.1851,1
0.806,0.049,6,1606,1044.1705,1
0.909,0.114,94,1605,986.1802,1
1.211,0.1,53,1136,1172.3416,1
0.661,0.031,55,1806,786.884,1
1.176,0.051,3,1648,1358.4741,1
1.31,0.166,24,1608,1000.1607,1
1.028,0.097,1,1407,811.9774,1
0.802,0.006,11,604,356.4228,1
1.026,0.152,2,1008,784.9079,1
1.436,0.114,12,1760,1886.1826,1
0.934,0.009,158,1606,916.0428,1
1.164,0.049,176,1040,1168.3592,1
1.031,0.168,38,1006,701.7783,1
1.494,0.138,8,1644,1369.5437,1
0.779,0.068,15,1007,701.7783,1
1.815,0.34,1,1840,1250.3745,1
1.49,0.044,16,1332,1028.2145,1
1.359,0.011,13,1648,1441.6885,1
1.248,0.014,33,932,1088.3592,1
1.061,0.264,1,1408,873.9622,1
0.871,0.025,137,1605,1067.266,1
1.157,0.004,13,1007,659.7814,1
1.545,0.228,4,1610,1118.3421,1
1.413,0.003,83,932,1041.3433,1
0.975,0.012,57,932,1063.2164,1
1.036,0.079,34,2008,1069.1369,1
1.583,0.215,1,1840,1372.4985,1
1.841,0.236,1,1316,1118.3421,1
1.455,0.054,33,1444,1482.6853,1
1.221,0.028,56,936,1078.2488,1
2.171,0.342,4,1852,1569.8345,1
1.381,0.01,24,1648,1462.6294,1
2.031,0.431,1,1611,1118.3421,1
1.026,0.087,9,1008,664.7748,1
1.225,0.045,9,2208,1298.5028,1
1.268,0.134,21,1007,659.741,1
2.05,0.362,1,1611,1118.3421,1
1.541,0.045,16,1652,1499.6656,1
1.196,0.083,204,932,1088.3592,1
1.256,0.054,19,1132,1088.3592,1
1.474,0.386,1,1612,1118.3421,1
1.818,0.131,18,1656,1710.9951,1
1.228,0.078,3,2211,1285.473,1
1.663,0.022,344,1268,2111.3801,1
1.406,0.178,13,1609,1118.3421,1
0.881,0.11,4,1808,936.036,1
1.929,0.17,1,1960,1755.0605,1
1.374,0.011,34,2807,1794.9428,1
0.99,0.185,13,1005,690.7948,1
1.386,0.288,5,1610,1118.3421,1
1.087,0.025,3,1207,916.0024,1
1.115,0.218,2,2008,1219.3759,1
1.836,0.136,68,1444,1330.4986,1
1.218,0.007,15,1132,1000.1204,1
1.985,0.185,1,2052,1704.0642,1
1.259,0.038,65,2207,1285.473,1
1.722,0.068,3,1760,1825.1511,1
1.067,0.027,38,1807,1258.441,1
1.525,0.066,1,1328,1043.2321,1
1.594,0.078,29,1772,2131.3857,1
1.344,0.001,123,1356,1672.9432,1
2.033,0.301,2,2610,1554.7637,1
1.599,0.097,9,1852,1599.7736,1
1.275,0.046,114,1248,1453.6251,1
1.272,0.015,24,1440,1301.2984,1
0.824,0.001,4,2407,1598.8785,1
1.521,0.007,38,1684,2539.0111,1
1.918,0.024,8,1576,2352.7136,1
1.603,0.129,1,21116,3573.1656,1
1.764,0.16,14,1676,2116.5164,1
